epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
1,1.000000e-08,18.1506,6.1712,0.0469,0.0193,0.0327,0.0887,102.3,1
2,2.000800e-05,13.4521,6.1513,0.0447,0.0181,0.0319,0.0840,95.1,0
3,4.000600e-05,7.0405,6.0890,0.0456,0.0198,0.0332,0.0837,99.2,0
4,6.000400e-05,3.9444,5.9603,0.0484,0.0229,0.0358,0.0865,95.8,1
5,8.000200e-05,2.6335,5.8523,0.0536,0.0257,0.0401,0.0950,95.0,1
6,1.000000e-04,2.1995,5.7002,0.0564,0.0285,0.0426,0.0980,96.7,1
7,9.999358e-05,1.9147,5.5328,0.0582,0.0291,0.0436,0.1021,97.9,1
8,9.997431e-05,1.7839,5.3557,0.0629,0.0349,0.0475,0.1063,95.2,1
9,9.994220e-05,1.7024,5.1804,0.0710,0.0408,0.0531,0.1192,94.9,1
10,9.989725e-05,1.5442,5.0190,0.0821,0.0491,0.0636,0.1335,98.3,1
11,9.983949e-05,1.5609,4.8033,0.0850,0.0539,0.0662,0.1348,98.5,1
12,9.976892e-05,1.4221,4.6287,0.0964,0.0640,0.0781,0.1470,97.1,1
13,9.968556e-05,1.4117,4.4161,0.1077,0.0746,0.0893,0.1591,95.5,1
14,9.958943e-05,1.4391,4.2361,0.1195,0.0838,0.0992,0.1755,96.7,1
15,9.948057e-05,1.3804,4.0455,0.1300,0.0939,0.1109,0.1854,97.6,1
16,9.935899e-05,1.3651,3.8402,0.1557,0.1194,0.1342,0.2135,94.6,1
17,9.922473e-05,1.3691,3.6753,0.1669,0.1291,0.1470,0.2246,94.6,1
18,9.907782e-05,1.3549,3.4594,0.2043,0.1684,0.1847,0.2599,96.5,1
19,9.891831e-05,1.2742,3.2989,0.2229,0.1868,0.2063,0.2755,98.7,1
20,9.874622e-05,1.2622,3.1224,0.2505,0.2127,0.2338,0.3050,97.6,1
21,9.856162e-05,1.2847,2.9945,0.2682,0.2323,0.2555,0.3169,98.1,1
22,9.836454e-05,1.2182,2.8664,0.2859,0.2561,0.2709,0.3306,96.9,1
23,9.815504e-05,1.2094,2.7292,0.3147,0.2820,0.3042,0.3579,97.5,1
24,9.793317e-05,1.1916,2.6115,0.3343,0.3018,0.3232,0.3778,94.6,1
25,9.769899e-05,1.2236,2.4794,0.3658,0.3193,0.3586,0.4196,99.3,1
26,9.745255e-05,1.1969,2.3771,0.3833,0.3391,0.3766,0.4342,98.4,1
27,9.719393e-05,1.1903,2.3030,0.3950,0.3468,0.3821,0.4560,95.7,1
28,9.692320e-05,1.1159,2.1853,0.4283,0.3743,0.4212,0.4894,96.7,1
29,9.664041e-05,1.1678,2.0656,0.4610,0.4138,0.4531,0.5160,93.6,1
30,9.634565e-05,1.1435,2.0370,0.4610,0.4046,0.4520,0.5263,100.9,1
31,9.603898e-05,1.1307,1.9329,0.4919,0.4234,0.4833,0.5690,98.6,1
32,9.572050e-05,1.1540,1.8739,0.5100,0.4480,0.5002,0.5817,97.1,1
33,9.539028e-05,1.1425,1.8173,0.5216,0.4594,0.5107,0.5949,94.9,1
34,9.504841e-05,1.1375,1.8125,0.5152,0.4493,0.4927,0.6034,97.8,0
35,9.469498e-05,1.1127,1.7647,0.5284,0.4488,0.5070,0.6294,97.2,1
36,9.433007e-05,1.1175,1.6537,0.5649,0.4849,0.5440,0.6659,97.0,1
37,9.395379e-05,1.0461,1.6348,0.5696,0.4858,0.5524,0.6706,96.1,1
38,9.356623e-05,1.0850,1.5816,0.5784,0.4971,0.5611,0.6768,96.9,1
39,9.316750e-05,1.0756,1.5091,0.6030,0.5146,0.5769,0.7176,97.0,1
40,9.275769e-05,1.0846,1.4370,0.6260,0.5319,0.6020,0.7442,97.2,1
41,9.233691e-05,1.0544,1.4588,0.6194,0.5255,0.5940,0.7385,95.8,0
42,9.190527e-05,1.0793,1.3938,0.6331,0.5411,0.6049,0.7533,96.1,1
43,9.146289e-05,1.0824,1.4651,0.6093,0.5127,0.5802,0.7349,97.5,0
44,9.100987e-05,1.0428,1.2981,0.6579,0.5654,0.6409,0.7673,96.9,1
45,9.054634e-05,1.0327,1.3597,0.6399,0.5384,0.6118,0.7693,94.6,0
46,9.007242e-05,1.0667,1.3095,0.6552,0.5619,0.6210,0.7826,99.7,0
47,8.958822e-05,1.0530,1.2977,0.6581,0.5499,0.6264,0.7978,98.3,1
48,8.909388e-05,1.0263,1.3721,0.6278,0.5237,0.5949,0.7649,96.3,0
49,8.858952e-05,1.0323,1.2556,0.6691,0.5740,0.6406,0.7927,98.5,1
50,8.807528e-05,1.0030,1.2547,0.6666,0.5672,0.6338,0.7989,101.2,0
51,8.755128e-05,1.0581,1.2501,0.6635,0.5656,0.6264,0.7986,96.4,0
52,8.701767e-05,0.9843,1.2138,0.6743,0.5631,0.6375,0.8222,97.0,1
53,8.647458e-05,0.9983,1.1990,0.6848,0.5879,0.6387,0.8279,95.8,1
54,8.592215e-05,1.0011,1.2343,0.6634,0.5655,0.6219,0.8029,100.2,0
55,8.536053e-05,1.0203,1.2469,0.6687,0.5646,0.6308,0.8107,96.0,0
56,8.478986e-05,1.0396,1.2110,0.6719,0.5697,0.6377,0.8082,97.5,0
57,8.421029e-05,1.0330,1.2433,0.6592,0.5546,0.6170,0.8059,98.9,0
58,8.362197e-05,0.9701,1.2315,0.6683,0.5758,0.6177,0.8115,98.3,0
59,8.302505e-05,1.0390,1.1333,0.6983,0.5926,0.6571,0.8454,96.2,1
60,8.241969e-05,1.0068,1.1642,0.6889,0.5908,0.6482,0.8277,95.4,0
61,8.180605e-05,1.0394,1.1294,0.7021,0.6051,0.6651,0.8360,99.9,1
62,8.118428e-05,0.9618,1.1518,0.6945,0.5875,0.6543,0.8416,94.8,0
63,8.055454e-05,1.0384,1.1076,0.7095,0.6085,0.6742,0.8457,96.0,1
64,7.991701e-05,0.9828,1.0304,0.7293,0.6308,0.6869,0.8701,99.9,1
65,7.927184e-05,1.0003,1.0456,0.7297,0.6334,0.6887,0.8669,97.4,1
66,7.861920e-05,0.9625,1.1490,0.6986,0.6018,0.6519,0.8420,98.6,0
67,7.795927e-05,0.9443,1.1165,0.7083,0.6129,0.6663,0.8458,99.0,0
68,7.729221e-05,1.0204,1.1166,0.7101,0.6189,0.6718,0.8396,96.9,0
69,7.661819e-05,1.0035,1.0520,0.7251,0.6342,0.6955,0.8456,96.7,0
70,7.593740e-05,0.9606,1.0759,0.7169,0.6230,0.6766,0.8511,100.6,0
71,7.525000e-05,0.9176,1.0918,0.7151,0.6265,0.6727,0.8462,96.0,0
72,7.455618e-05,0.9579,1.1969,0.6863,0.5970,0.6381,0.8239,95.1,0
73,7.385611e-05,1.0162,1.1093,0.7169,0.6419,0.6774,0.8313,98.3,0
74,7.314999e-05,0.9752,1.0438,0.7484,0.6618,0.7157,0.8677,97.3,1
75,7.243798e-05,0.9182,1.0826,0.7123,0.6143,0.6672,0.8554,95.3,0
76,7.172028e-05,0.8913,1.1706,0.6945,0.6020,0.6635,0.8181,96.0,0
77,7.099707e-05,0.9788,1.1358,0.7075,0.6155,0.6644,0.8426,98.6,0
78,7.026855e-05,0.9537,1.1711,0.7001,0.6067,0.6455,0.8482,98.8,0
79,6.953489e-05,0.9600,1.0946,0.7171,0.6298,0.6833,0.8381,94.9,0
80,6.879629e-05,0.9800,1.1620,0.6958,0.6038,0.6441,0.8395,98.9,0
81,6.805294e-05,0.9074,1.1458,0.7228,0.6453,0.6899,0.8331,98.2,0
82,6.730504e-05,0.9406,1.1009,0.7215,0.6389,0.6878,0.8378,97.2,0
83,6.655277e-05,0.9609,1.0738,0.7310,0.6538,0.6910,0.8481,95.1,0
84,6.579634e-05,0.9554,1.0939,0.7208,0.6313,0.6818,0.8494,98.0,0
85,6.503594e-05,0.9650,1.0387,0.7280,0.6346,0.6850,0.8642,97.0,0
86,6.427176e-05,0.9431,1.1415,0.7039,0.6051,0.6598,0.8468,96.0,0
87,6.350402e-05,0.9265,1.0399,0.7435,0.6533,0.7158,0.8615,97.1,0
88,6.273289e-05,0.9480,1.0763,0.7215,0.6348,0.6844,0.8454,97.7,0
89,6.195859e-05,0.9163,1.1464,0.7259,0.6489,0.6999,0.8290,96.4,0
90,6.118132e-05,0.9428,1.1028,0.7301,0.6507,0.6915,0.8481,97.6,0
91,6.040127e-05,0.9698,1.0240,0.7497,0.6570,0.7128,0.8794,95.6,1
92,5.961866e-05,0.9276,1.0922,0.7322,0.6542,0.7062,0.8363,99.7,0
93,5.883367e-05,0.9010,1.1446,0.7319,0.6541,0.7041,0.8376,95.5,0
94,5.804653e-05,0.9580,1.0854,0.7454,0.6802,0.7110,0.8449,95.6,0
95,5.725742e-05,0.9116,1.0933,0.7355,0.6589,0.7127,0.8348,99.6,0
96,5.646657e-05,0.9267,1.1153,0.7349,0.6619,0.6857,0.8571,98.1,0
97,5.567416e-05,0.8691,1.1140,0.7316,0.6522,0.6880,0.8547,96.4,0
98,5.488041e-05,0.8871,1.0914,0.7250,0.6497,0.6820,0.8434,94.8,0
99,5.408552e-05,0.9751,1.0583,0.7451,0.6640,0.7227,0.8487,98.7,0
100,5.328971e-05,0.8836,1.0098,0.7644,0.6835,0.7312,0.8786,97.3,1
101,5.249316e-05,0.8558,1.0623,0.7440,0.6625,0.7119,0.8577,96.7,0
102,5.169611e-05,0.8912,1.0916,0.7467,0.6799,0.7264,0.8339,98.1,0
103,5.089874e-05,0.9921,1.0411,0.7482,0.6713,0.7164,0.8570,96.9,0
104,5.010126e-05,0.8978,1.1123,0.7427,0.6743,0.7178,0.8360,94.2,0
105,4.930389e-05,0.8772,1.1015,0.7385,0.6562,0.7087,0.8507,97.2,0
106,4.850684e-05,0.9017,0.9998,0.7687,0.6867,0.7391,0.8802,100.9,1
107,4.771029e-05,0.8688,1.0748,0.7429,0.6739,0.7168,0.8381,96.0,0
108,4.691448e-05,0.9360,1.0741,0.7432,0.6592,0.7129,0.8574,95.6,0
109,4.611959e-05,0.8984,1.0612,0.7674,0.6919,0.7489,0.8615,97.3,0
110,4.532584e-05,0.8666,1.0514,0.7360,0.6460,0.7094,0.8526,97.9,0
111,4.453343e-05,0.8619,1.0592,0.7444,0.6536,0.7255,0.8542,100.8,0
112,4.374258e-05,0.8787,1.1171,0.7402,0.6711,0.7100,0.8396,96.5,0
113,4.295347e-05,0.9017,1.0543,0.7462,0.6605,0.7234,0.8546,95.8,0
114,4.216633e-05,0.9260,1.0372,0.7510,0.6622,0.7253,0.8656,101.0,0
115,4.138134e-05,0.8952,1.0522,0.7490,0.6683,0.7181,0.8605,96.2,0
116,4.059873e-05,0.8874,1.0294,0.7549,0.6785,0.7189,0.8671,97.4,0
117,3.981868e-05,0.9358,1.0212,0.7553,0.6714,0.7290,0.8655,95.7,0
118,3.904141e-05,0.8908,1.0548,0.7410,0.6576,0.7096,0.8559,98.8,0
119,3.826711e-05,0.9162,1.0798,0.7431,0.6516,0.7071,0.8707,99.9,0
120,3.749598e-05,0.8753,1.1056,0.7389,0.6585,0.7215,0.8369,96.0,0
121,3.672824e-05,0.9058,1.1820,0.7303,0.6526,0.7038,0.8345,96.6,0
122,3.596406e-05,0.8392,1.0472,0.7546,0.6795,0.7186,0.8658,96.0,0
123,3.520366e-05,0.9225,1.0570,0.7444,0.6628,0.7170,0.8533,99.4,0
124,3.444723e-05,0.8622,1.0473,0.7526,0.6796,0.7218,0.8563,98.0,0
125,3.369496e-05,0.8766,1.0784,0.7640,0.6922,0.7428,0.8570,97.5,0
126,3.294706e-05,0.9221,1.0871,0.7398,0.6607,0.6977,0.8611,96.2,0
127,3.220371e-05,0.8309,1.0562,0.7574,0.6889,0.7386,0.8448,98.7,0
128,3.146511e-05,0.8377,1.0382,0.7527,0.6713,0.7213,0.8655,95.2,0
129,3.073145e-05,0.8628,0.9942,0.7699,0.6928,0.7335,0.8834,96.6,1
130,3.000293e-05,0.8330,1.0753,0.7497,0.6658,0.7136,0.8698,96.4,0
131,2.927972e-05,0.8841,0.9837,0.7633,0.6777,0.7304,0.8818,99.2,0
132,2.856202e-05,0.8242,1.1225,0.7392,0.6647,0.7104,0.8424,95.6,0
133,2.785001e-05,0.9043,1.0066,0.7578,0.6842,0.7203,0.8688,95.9,0
134,2.714389e-05,0.8644,1.0535,0.7693,0.7040,0.7436,0.8604,101.2,0
135,2.644382e-05,0.8316,1.0742,0.7522,0.6836,0.7192,0.8538,97.5,0
136,2.575000e-05,0.8346,1.0154,0.7509,0.6733,0.7211,0.8582,97.0,0
137,2.506260e-05,0.9218,1.0430,0.7542,0.6753,0.7385,0.8489,97.3,0
138,2.438181e-05,0.8691,1.0927,0.7459,0.6853,0.7146,0.8378,99.9,0
139,2.370779e-05,0.8554,1.0110,0.7626,0.6863,0.7208,0.8808,96.0,0
140,2.304073e-05,0.8572,1.0431,0.7636,0.6874,0.7335,0.8700,96.2,0
141,2.238080e-05,0.8604,1.0403,0.7585,0.6768,0.7279,0.8708,98.4,0
142,2.172816e-05,0.8469,1.0711,0.7616,0.6981,0.7252,0.8616,100.0,0
143,2.108299e-05,0.8060,1.0128,0.7558,0.6787,0.7162,0.8726,94.8,0
144,2.044546e-05,0.8758,1.0588,0.7632,0.7027,0.7395,0.8476,99.2,0
145,1.981572e-05,0.8613,0.9759,0.7736,0.6988,0.7535,0.8685,97.6,1
146,1.919395e-05,0.8514,1.0392,0.7498,0.6710,0.7226,0.8558,97.4,0
147,1.858031e-05,0.8364,1.0292,0.7614,0.6814,0.7238,0.8791,97.6,0
148,1.797495e-05,0.8639,1.0394,0.7629,0.6887,0.7370,0.8629,99.2,0
149,1.737803e-05,0.8771,1.0066,0.7562,0.6869,0.7166,0.8650,100.2,0
150,1.678971e-05,0.8741,1.1152,0.7439,0.6671,0.7132,0.8514,95.5,0
151,1.621014e-05,0.9098,1.0363,0.7677,0.6964,0.7506,0.8562,98.1,0
152,1.563947e-05,0.8867,0.9725,0.7746,0.7063,0.7407,0.8769,97.7,1
153,1.507785e-05,0.8799,0.9934,0.7591,0.6760,0.7192,0.8821,97.4,0
154,1.452542e-05,0.8674,1.0289,0.7561,0.6753,0.7122,0.8809,100.6,0
155,1.398233e-05,0.7862,1.0953,0.7459,0.6679,0.7096,0.8602,97.0,0
156,1.344872e-05,0.8511,0.9721,0.7806,0.7144,0.7555,0.8718,96.2,1
157,1.292472e-05,0.8545,1.0654,0.7489,0.6709,0.7156,0.8602,96.9,0
158,1.241048e-05,0.8213,1.0246,0.7666,0.7036,0.7359,0.8603,95.9,0
159,1.190612e-05,0.8264,1.0763,0.7517,0.6810,0.7170,0.8571,96.0,0
160,1.141178e-05,0.8644,1.0109,0.7689,0.6853,0.7481,0.8734,98.9,0
161,1.092758e-05,0.8723,1.0301,0.7593,0.6860,0.7295,0.8625,98.0,0
162,1.045366e-05,0.8152,1.1696,0.7384,0.6627,0.7102,0.8423,96.5,0
163,9.990128e-06,0.8313,1.0291,0.7807,0.7160,0.7539,0.8722,94.6,1
164,9.537112e-06,0.9130,1.0265,0.7607,0.6970,0.7098,0.8752,101.3,0
165,9.094728e-06,0.8376,1.1262,0.7533,0.6797,0.7149,0.8653,98.1,0
166,8.663091e-06,0.8686,1.0757,0.7652,0.7087,0.7301,0.8569,95.3,0
167,8.242312e-06,0.8667,1.1366,0.7469,0.6888,0.7316,0.8203,96.2,0
168,7.832501e-06,0.8384,1.0355,0.7693,0.6995,0.7393,0.8691,101.2,0
169,7.433765e-06,0.8342,1.0343,0.7657,0.7063,0.7468,0.8439,94.9,0
170,7.046207e-06,0.8716,1.0049,0.7686,0.7062,0.7357,0.8640,98.4,0
171,6.669927e-06,0.8605,1.0828,0.7664,0.6950,0.7345,0.8696,96.2,0
172,6.305023e-06,0.8283,1.0295,0.7529,0.6719,0.7172,0.8696,96.7,0
173,5.951590e-06,0.8464,0.9928,0.7712,0.7026,0.7518,0.8593,96.5,0
174,5.609719e-06,0.8381,1.0813,0.7487,0.6773,0.6997,0.8692,99.2,0
175,5.279500e-06,0.8412,1.0334,0.7712,0.6955,0.7476,0.8706,96.5,0
176,4.961018e-06,0.8211,1.0179,0.7642,0.6994,0.7361,0.8571,96.6,0
177,4.654355e-06,0.8330,1.1149,0.7386,0.6594,0.7112,0.8452,97.7,0
178,4.359591e-06,0.8339,1.0610,0.7479,0.6565,0.7221,0.8651,100.3,0
179,4.076804e-06,0.8424,0.9989,0.7727,0.7107,0.7404,0.8671,95.4,0
180,3.806065e-06,0.8529,1.0306,0.7668,0.7010,0.7294,0.8701,95.4,0
181,3.547446e-06,0.8490,1.0935,0.7533,0.6981,0.7218,0.8399,96.4,0
182,3.301014e-06,0.8755,1.0148,0.7720,0.7077,0.7461,0.8623,100.1,0
183,3.066831e-06,0.8399,1.0814,0.7523,0.6752,0.7101,0.8715,94.7,0
184,2.844961e-06,0.8861,1.0022,0.7787,0.7024,0.7680,0.8657,95.5,0
185,2.635459e-06,0.8210,1.0183,0.7736,0.7060,0.7469,0.8678,99.9,0
186,2.438380e-06,0.8141,0.9936,0.7762,0.7096,0.7508,0.8684,97.0,0
187,2.253776e-06,0.8677,1.0674,0.7457,0.6597,0.7067,0.8706,94.3,0
188,2.081694e-06,0.8516,1.0678,0.7529,0.6746,0.7200,0.8641,97.8,0
189,1.922179e-06,0.8892,1.0615,0.7637,0.6921,0.7306,0.8684,99.1,0
190,1.775272e-06,0.8725,1.0741,0.7586,0.6836,0.7406,0.8515,95.8,0
191,1.641012e-06,0.8451,1.0662,0.7594,0.6957,0.7412,0.8411,96.0,0
192,1.519433e-06,0.8273,1.0506,0.7525,0.6759,0.7132,0.8684,101.0,0
193,1.410567e-06,0.8138,0.9810,0.7618,0.6782,0.7406,0.8667,99.1,0
194,1.314443e-06,0.8344,1.1046,0.7506,0.6869,0.7199,0.8451,94.7,0
195,1.231084e-06,0.7894,1.0668,0.7639,0.6994,0.7378,0.8545,97.1,0
196,1.160513e-06,0.7861,0.9957,0.7668,0.7001,0.7389,0.8613,97.7,0
197,1.102748e-06,0.8660,1.0982,0.7597,0.6914,0.7369,0.8508,96.6,0
198,1.057805e-06,0.7875,1.0627,0.7680,0.6992,0.7570,0.8478,96.3,0
199,1.025694e-06,0.8193,1.0566,0.7631,0.6965,0.7310,0.8618,97.6,0
200,1.006424e-06,0.8516,1.0417,0.7541,0.6695,0.7201,0.8726,95.1,0
